Countries,gdp_usd,human_capital_index,total_deaths,total_recoveries,total_tested,total_active_cases,mean_smoking_prevalence,mean_diabetes_prevalence,mean_hospital_beds_per_1000,mean_nurses_per_1000,mean_physicians_per_1000,mean_health_expenditure_usd,population,population_density,human_development_index,mobility_residential,mobility_workplaces,mobility_transit_stations,mobility_grocery_and_pharmacy,mobility_parks,total_vaccinated
Liechtenstein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.01,0.95,0.17,0.16,0.27,0.11,0.23,0.0
Sri Lanka,0.0,0.66,0.02,0.0,0.01,0.01,0.28,0.35,0.0,0.11,0.12,0.02,0.01,0.01,0.8,0.92,0.13,0.25,0.15,0.22,0.02
Liberia,0.0,0.36,0.0,0.0,0.0,0.0,0.21,0.08,0.0,0.03,0.0,0.01,0.0,0.0,0.45,0.17,0.54,0.43,0.12,0.23,0.0
Lesotho,0.0,0.42,0.0,0.0,0.0,0.0,0.57,0.15,0.0,0.17,0.0,0.01,0.0,0.0,0.54,0.17,0.54,0.43,0.12,0.23,0.0
Lithuania,0.0,0.81,0.01,0.0,0.01,0.01,0.61,0.12,0.0,0.51,0.75,0.11,0.0,0.0,0.88,0.29,0.3,0.3,0.34,0.69,0.0
Luxembourg,0.0,0.78,0.0,0.0,0.0,0.0,0.5,0.16,0.42,0.63,0.36,0.56,0.0,0.01,0.96,0.52,0.12,0.28,0.13,0.49,0.0
Latvia,0.0,0.82,0.01,0.0,0.01,0.01,0.79,0.16,0.0,0.24,0.38,0.09,0.0,0.0,0.86,0.32,0.17,0.23,0.17,0.58,0.0
Libya,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.33,0.0,0.34,0.25,0.0,0.0,0.0,0.74,0.19,0.95,0.75,1.0,0.91,0.0
Morocco,0.01,0.57,0.02,0.0,0.01,0.01,0.5,0.23,0.0,0.07,0.09,0.02,0.03,0.0,0.7,0.57,0.35,0.33,0.48,0.22,0.02
Monaco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.29,0.0,1.0,0.0,0.17,0.54,0.43,0.12,0.23,0.0
Moldova,0.0,0.66,0.01,0.0,0.0,0.01,0.51,0.19,0.0,0.25,0.38,0.02,0.0,0.0,0.72,0.08,0.17,0.27,0.13,0.23,0.0
Montenegro,0.0,0.7,0.0,0.0,0.0,0.0,0.98,0.3,0.0,0.27,0.33,0.0,0.0,0.0,0.84,0.17,0.54,0.43,0.12,0.23,0.0
Madagascar,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.01,0.0,0.0,0.02,0.0,0.54,0.17,0.54,0.43,0.12,0.23,0.0
Marshall Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.17,0.0,0.06,0.0,0.01,0.74,0.17,0.54,0.43,0.12,0.23,0.0
Macedonia,0.0,0.6,0.01,0.0,0.0,0.0,0.0,0.3,0.0,0.19,0.34,0.03,0.0,0.0,0.0,0.17,0.54,0.43,0.12,0.23,0.0
Mali,0.0,0.36,0.0,0.0,0.0,0.0,0.26,0.08,0.0,0.02,0.02,0.0,0.01,0.0,0.45,0.31,0.71,0.66,0.41,0.74,0.0
Myanmar,0.0,0.54,0.02,0.0,0.01,0.01,0.43,0.13,0.0,0.05,0.08,0.01,0.04,0.0,0.6,0.97,0.11,0.1,0.0,0.15,0.03
Mongolia,0.0,0.71,0.0,0.0,0.01,0.01,0.54,0.15,0.0,0.2,0.34,0.01,0.0,0.0,0.77,0.3,1.0,0.97,0.9,0.57,0.0
Macau,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.17,0.54,0.43,0.12,0.23,0.0
Mauritania,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.05,0.02,0.0,0.0,0.0,0.54,0.17,0.54,0.43,0.12,0.23,0.0
Malta,0.0,0.79,0.0,0.0,0.0,0.0,0.54,0.27,0.0,0.49,0.34,0.25,0.0,0.06,0.88,0.43,0.26,0.37,0.18,0.37,0.0
Mauritius,0.0,0.71,0.0,0.0,0.0,0.0,0.46,0.72,0.0,0.18,0.3,0.06,0.0,0.02,0.83,0.34,0.38,0.15,0.12,0.14,0.0
Maldives,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.0,0.33,0.54,0.1,0.0,0.07,0.75,0.17,0.54,0.43,0.12,0.23,0.0
Malawi,0.0,0.46,0.0,0.0,0.0,0.0,0.31,0.15,0.0,0.02,0.0,0.0,0.01,0.01,0.5,0.17,0.54,0.43,0.12,0.23,0.0
Mexico,0.06,0.69,0.33,0.0,0.02,0.08,0.3,0.44,0.13,0.12,0.28,0.05,0.08,0.0,0.79,0.52,0.39,0.26,0.23,0.12,0.08
Malaysia,0.02,0.7,0.04,0.02,0.07,0.05,0.46,0.55,0.17,0.18,0.18,0.04,0.02,0.0,0.84,0.82,0.17,0.06,0.15,0.16,0.03
Mozambique,0.0,0.41,0.0,0.0,0.0,0.0,0.35,0.11,0.0,0.04,0.01,0.0,0.02,0.0,0.46,0.39,0.62,0.4,0.28,0.22,0.01
